TOP 5:
word:            type; TF: 0.007445; IDF: 0.773190; TF-IDF: 0.005756
word:        muscular; TF: 0.002683; IDF: 1.178655; TF-IDF: 0.003162
word:               a; TF: 0.020922; IDF: 0.080043; TF-IDF: 0.001675
word:            bony; TF: 0.000869; IDF: 1.178655; TF-IDF: 0.001024
word:      efficiency; TF: 0.000295; IDF: 2.564949; TF-IDF: 0.000756
-------------------------------
word:            soul; TF: 0.000062; IDF: 0.262364; TF-IDF: 0.000016
word:    completeness; TF: 0.000031; IDF: 1.871802; TF-IDF: 0.000058
word:           night; TF: 0.000202; IDF: 0.080043; TF-IDF: 0.000016
word:          talent; TF: 0.000062; IDF: 0.485508; TF-IDF: 0.000030
word:      alteration; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:         western; TF: 0.000016; IDF: 0.619039; TF-IDF: 0.000010
word:           there; TF: 0.001256; IDF: 0.080043; TF-IDF: 0.000101
word:        december; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:         dinners; TF: 0.000031; IDF: 0.619039; TF-IDF: 0.000019
word:         winning; TF: 0.000047; IDF: 0.619039; TF-IDF: 0.000029
word:          author; TF: 0.000031; IDF: 0.000000; TF-IDF: 0.000000
word:           these; TF: 0.002373; IDF: 0.080043; TF-IDF: 0.000190
word:        joyfully; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:         stomach; TF: 0.000388; IDF: 0.955511; TF-IDF: 0.000370
word:        savoring; TF: 0.000031; IDF: 1.466337; TF-IDF: 0.000045
word:         created; TF: 0.000078; IDF: 0.080043; TF-IDF: 0.000006
word:         matters; TF: 0.000031; IDF: 0.080043; TF-IDF: 0.000002
word:         affable; TF: 0.000047; IDF: 0.485508; TF-IDF: 0.000023
word:         creates; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:        locality; TF: 0.000031; IDF: 0.955511; TF-IDF: 0.000030
word:         enables; TF: 0.000047; IDF: 0.955511; TF-IDF: 0.000044
word:         raymond; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000040
word:          yachts; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000040
word:        strongly; TF: 0.000047; IDF: 0.262364; TF-IDF: 0.000012
word:           tools; TF: 0.000062; IDF: 0.485508; TF-IDF: 0.000030
word:         conform; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:          wealth; TF: 0.000031; IDF: 0.485508; TF-IDF: 0.000015
word:          manner; TF: 0.000140; IDF: 0.167054; TF-IDF: 0.000023
word:           diego; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000040
word:          strict; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:        effusive; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:        contests; TF: 0.000031; IDF: 0.955511; TF-IDF: 0.000030
word:          theory; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:          stride; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:  revolutionized; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000040
word:          lumber; TF: 0.000031; IDF: 1.178655; TF-IDF: 0.000037
word:       principle; TF: 0.000016; IDF: 0.262364; TF-IDF: 0.000004
word:      connection; TF: 0.000109; IDF: 0.262364; TF-IDF: 0.000028
word:     description; TF: 0.000016; IDF: 0.367725; TF-IDF: 0.000006
word:    predominated; TF: 0.000031; IDF: 1.466337; TF-IDF: 0.000045
word:           feels; TF: 0.000202; IDF: 0.485508; TF-IDF: 0.000098
word:    predominates; TF: 0.000124; IDF: 1.178655; TF-IDF: 0.000146
word:         bedrock; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000040
word:     submergence; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:        shanghai; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000040
word:         divided; TF: 0.000031; IDF: 0.262364; TF-IDF: 0.000008
word:          custom; TF: 0.000047; IDF: 0.262364; TF-IDF: 0.000012
word:      deficiency; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:          rarity; TF: 0.000047; IDF: 1.466337; TF-IDF: 0.000068
word:           souls; TF: 0.000031; IDF: 0.485508; TF-IDF: 0.000015
word:          refund; TF: 0.000155; IDF: 0.080043; TF-IDF: 0.000012
word:      dimensions; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:        research; TF: 0.000047; IDF: 0.080043; TF-IDF: 0.000004
word:          trifle; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:         creator; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:         anybody; TF: 0.000093; IDF: 0.367725; TF-IDF: 0.000034
word:          banker; TF: 0.000093; IDF: 0.485508; TF-IDF: 0.000045
word:          strike; TF: 0.000047; IDF: 0.167054; TF-IDF: 0.000008
word:       initiated; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:          spoken; TF: 0.000047; IDF: 0.167054; TF-IDF: 0.000008
word:       represent; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:         ragtime; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000040
word:   uninterrupted; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000029
word:    interference; TF: 0.000031; IDF: 0.955511; TF-IDF: 0.000030
word:        indicate; TF: 0.000109; IDF: 0.080043; TF-IDF: 0.000009
word:     prominently; TF: 0.000031; IDF: 0.080043; TF-IDF: 0.000002
word:          ridden; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:         resists; TF: 0.000062; IDF: 1.871802; TF-IDF: 0.000116
word:           drink; TF: 0.000047; IDF: 0.080043; TF-IDF: 0.000004
word:          string; TF: 0.000016; IDF: 0.773190; TF-IDF: 0.000012
word:         dealing; TF: 0.000093; IDF: 0.773190; TF-IDF: 0.000072
word:          refuse; TF: 0.000047; IDF: 0.262364; TF-IDF: 0.000012
word:        cheerful; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:       bachelors; TF: 0.000047; IDF: 1.178655; TF-IDF: 0.000055
word:         secrete; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000029
word:         secrets; TF: 0.000078; IDF: 0.262364; TF-IDF: 0.000020
word:        operatic; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000029
word:      unchanging; TF: 0.000031; IDF: 1.871802; TF-IDF: 0.000058
word:           south; TF: 0.000016; IDF: 0.262364; TF-IDF: 0.000004
word:      dreaminess; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000029
word:           avoid; TF: 0.000869; IDF: 0.167054; TF-IDF: 0.000145
word:     flirtations; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000040
word:         century; TF: 0.000016; IDF: 0.773190; TF-IDF: 0.000012
word:        rapidity; TF: 0.000016; IDF: 0.773190; TF-IDF: 0.000012
word:         bedroom; TF: 0.000031; IDF: 0.367725; TF-IDF: 0.000011
word:           floor; TF: 0.000031; IDF: 0.262364; TF-IDF: 0.000008
word:     disclaimers; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:          riddle; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:        mechanic; TF: 0.000031; IDF: 2.564949; TF-IDF: 0.000080
word:       sorrowful; TF: 0.000016; IDF: 0.773190; TF-IDF: 0.000012
word:        boulders; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000029
word:           crook; TF: 0.000062; IDF: 0.080043; TF-IDF: 0.000005
word:          london; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:            spot; TF: 0.000062; IDF: 0.080043; TF-IDF: 0.000005
word:   impulsiveness; TF: 0.000031; IDF: 2.564949; TF-IDF: 0.000080
word:     flirtatious; TF: 0.000062; IDF: 1.871802; TF-IDF: 0.000116
word:    civilization; TF: 0.000093; IDF: 0.955511; TF-IDF: 0.000089
word:     individuals; TF: 0.000093; IDF: 1.178655; TF-IDF: 0.000110
word:     manuscripts; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:           cross; TF: 0.000031; IDF: 0.080043; TF-IDF: 0.000002
word:   possibilities; TF: 0.000062; IDF: 0.955511; TF-IDF: 0.000059
word:     interpreted; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:            spur; TF: 0.000031; IDF: 1.871802; TF-IDF: 0.000058
