TOP 5:
word:     disclaimers; TF: 0.000008; IDF: 0.074108; TF-IDF: 0.000001
word:       discharge; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:           lobby; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:       shrubbery; TF: 0.000032; IDF: 1.945910; TF-IDF: 0.000062
word:      bewitching; TF: 0.000008; IDF: 1.029619; TF-IDF: 0.000008
word:        dreadful; TF: 0.000087; IDF: 0.336472; TF-IDF: 0.000029
word:           drive; TF: 0.000032; IDF: 0.074108; TF-IDF: 0.000002
word:          london; TF: 0.000437; IDF: 0.559616; TF-IDF: 0.000244
word:            spot; TF: 0.000056; IDF: 0.074108; TF-IDF: 0.000004
word:         revenge; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:           cross; TF: 0.000032; IDF: 0.074108; TF-IDF: 0.000002
word:         kingdom; TF: 0.000032; IDF: 0.559616; TF-IDF: 0.000018
word:   possibilities; TF: 0.000008; IDF: 1.029619; TF-IDF: 0.000008
word:     interpreted; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:     established; TF: 0.000056; IDF: 0.441833; TF-IDF: 0.000025
word:        forcibly; TF: 0.000032; IDF: 0.693147; TF-IDF: 0.000022
word:            spur; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:           crowd; TF: 0.000008; IDF: 0.241162; TF-IDF: 0.000002
word:           crown; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:            weak; TF: 0.000056; IDF: 0.074108; TF-IDF: 0.000004
word:        mornings; TF: 0.000024; IDF: 0.241162; TF-IDF: 0.000006
word:       unsubdued; TF: 0.000008; IDF: 1.540445; TF-IDF: 0.000012
word:        dressing; TF: 0.000071; IDF: 0.241162; TF-IDF: 0.000017
word:         uniting; TF: 0.000008; IDF: 1.252763; TF-IDF: 0.000010
word:           mince; TF: 0.000008; IDF: 1.029619; TF-IDF: 0.000008
word:         propose; TF: 0.000024; IDF: 0.441833; TF-IDF: 0.000011
word:           topic; TF: 0.000008; IDF: 0.693147; TF-IDF: 0.000006
word:           minds; TF: 0.000032; IDF: 0.241162; TF-IDF: 0.000008
word:          doings; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        impelled; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:          circle; TF: 0.000056; IDF: 0.074108; TF-IDF: 0.000004
word:          saying; TF: 0.000278; IDF: 0.074108; TF-IDF: 0.000021
word:        survived; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:            week; TF: 0.000230; IDF: 0.154151; TF-IDF: 0.000036
word:            weep; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:        respects; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:         courage; TF: 0.000095; IDF: 0.154151; TF-IDF: 0.000015
word:        interval; TF: 0.000032; IDF: 0.693147; TF-IDF: 0.000022
word:        absolute; TF: 0.000032; IDF: 0.441833; TF-IDF: 0.000014
word:  inconsiderable; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:         allayed; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:           jones; TF: 0.000040; IDF: 0.847298; TF-IDF: 0.000034
word:      discussion; TF: 0.000040; IDF: 0.441833; TF-IDF: 0.000018
word:          giving; TF: 0.000199; IDF: 0.074108; TF-IDF: 0.000015
word:      performing; TF: 0.000024; IDF: 0.074108; TF-IDF: 0.000002
word:         english; TF: 0.000008; IDF: 0.000000; TF-IDF: 0.000000
word:          eldest; TF: 0.000159; IDF: 0.847298; TF-IDF: 0.000135
word:            name; TF: 0.000270; IDF: 0.074108; TF-IDF: 0.000020
word:         revenue; TF: 0.000008; IDF: 0.074108; TF-IDF: 0.000001
word:       seclusion; TF: 0.000008; IDF: 1.029619; TF-IDF: 0.000008
word:       confusion; TF: 0.000087; IDF: 0.336472; TF-IDF: 0.000029
word:        promised; TF: 0.000167; IDF: 0.241162; TF-IDF: 0.000040
word:        promises; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          common; TF: 0.000151; IDF: 0.154151; TF-IDF: 0.000023
word:            well; TF: 0.001779; IDF: 0.074108; TF-IDF: 0.000132
word:     competition; TF: 0.000024; IDF: 1.252763; TF-IDF: 0.000030
word:          guests; TF: 0.000008; IDF: 0.693147; TF-IDF: 0.000006
word:    overthrowing; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:         remarks; TF: 0.000064; IDF: 0.441833; TF-IDF: 0.000028
word:          answer; TF: 0.000516; IDF: 0.074108; TF-IDF: 0.000038
word:            went; TF: 0.000532; IDF: 0.074108; TF-IDF: 0.000039
word:      vouchsafed; TF: 0.000008; IDF: 1.252763; TF-IDF: 0.000010
word:         unknown; TF: 0.000262; IDF: 0.154151; TF-IDF: 0.000040
word:        survivor; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:         fainter; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        checking; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:   consideration; TF: 0.000111; IDF: 0.241162; TF-IDF: 0.000027
word:      incredible; TF: 0.000040; IDF: 0.441833; TF-IDF: 0.000018
word:       steadfast; TF: 0.000008; IDF: 0.847298; TF-IDF: 0.000007
word:          fellow; TF: 0.000071; IDF: 0.154151; TF-IDF: 0.000011
word:    guardianship; TF: 0.000024; IDF: 1.252763; TF-IDF: 0.000030
word:          fourth; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:            were; TF: 0.004488; IDF: 0.074108; TF-IDF: 0.000333
word:        decorums; TF: 0.000008; IDF: 2.639057; TF-IDF: 0.000021
word:         rightly; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:        clearing; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:           birds; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:         nowhere; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:      abhorrence; TF: 0.000048; IDF: 1.945910; TF-IDF: 0.000093
word:            west; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:        quarters; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:       heartfelt; TF: 0.000008; IDF: 1.540445; TF-IDF: 0.000012
word:         consign; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:      consequent; TF: 0.000008; IDF: 0.847298; TF-IDF: 0.000007
word:           yield; TF: 0.000032; IDF: 0.336472; TF-IDF: 0.000011
word:           local; TF: 0.000008; IDF: 0.847298; TF-IDF: 0.000007
word:     comprehends; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:       donations; TF: 0.000119; IDF: 0.074108; TF-IDF: 0.000009
word:            airs; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:         talents; TF: 0.000040; IDF: 0.693147; TF-IDF: 0.000028
word:     alterations; TF: 0.000008; IDF: 1.252763; TF-IDF: 0.000010
word:         faintly; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:          united; TF: 0.000135; IDF: 0.074108; TF-IDF: 0.000010
word:      wretchedly; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:         eagerly; TF: 0.000111; IDF: 0.241162; TF-IDF: 0.000027
word:       breakfast; TF: 0.000207; IDF: 0.241162; TF-IDF: 0.000050
word:      conditions; TF: 0.000008; IDF: 0.336472; TF-IDF: 0.000003
word:          recall; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:        inquired; TF: 0.000064; IDF: 0.241162; TF-IDF: 0.000015
word:      unassuming; TF: 0.000024; IDF: 2.639057; TF-IDF: 0.000063
word:       reflected; TF: 0.000024; IDF: 0.559616; TF-IDF: 0.000013
word:     hospitality; TF: 0.000024; IDF: 0.241162; TF-IDF: 0.000006
word:      conception; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:        referred; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:        scarcity; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:       effusions; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000031
word:    corroborated; TF: 0.000008; IDF: 1.540445; TF-IDF: 0.000012
word:       delivered; TF: 0.000032; IDF: 0.693147; TF-IDF: 0.000022
word:       statement; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:      disputable; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:       practises; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:         warrant; TF: 0.000008; IDF: 1.540445; TF-IDF: 0.000012
word:      steadiness; TF: 0.000008; IDF: 2.639057; TF-IDF: 0.000021
word:         managed; TF: 0.000008; IDF: 0.241162; TF-IDF: 0.000002
word:         manager; TF: 0.000008; IDF: 0.693147; TF-IDF: 0.000006
word:      newsletter; TF: 0.000008; IDF: 0.074108; TF-IDF: 0.000001
word:          visits; TF: 0.000040; IDF: 0.847298; TF-IDF: 0.000034
word:        agreeing; TF: 0.000024; IDF: 1.029619; TF-IDF: 0.000025
word:      statements; TF: 0.000008; IDF: 0.074108; TF-IDF: 0.000001
word:     appearances; TF: 0.000008; IDF: 0.693147; TF-IDF: 0.000006
word:         adorned; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:         renamed; TF: 0.000008; IDF: 0.074108; TF-IDF: 0.000001
word:        included; TF: 0.000040; IDF: 0.000000; TF-IDF: 0.000000
word:        includes; TF: 0.000008; IDF: 0.074108; TF-IDF: 0.000001
word:     fretfulness; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000042
word:           birth; TF: 0.000040; IDF: 0.441833; TF-IDF: 0.000018
word:      partiality; TF: 0.000103; IDF: 1.029619; TF-IDF: 0.000106
word:           slave; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:       ourselves; TF: 0.000064; IDF: 0.074108; TF-IDF: 0.000005
word:       inquiries; TF: 0.000183; IDF: 0.559616; TF-IDF: 0.000102
word:         puzzled; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:           pratt; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000031
word:         cassino; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:      surpassing; TF: 0.000008; IDF: 2.639057; TF-IDF: 0.000021
word:          period; TF: 0.000119; IDF: 0.559616; TF-IDF: 0.000067
word:       hesitated; TF: 0.000024; IDF: 0.441833; TF-IDF: 0.000011
word:   disadvantages; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:       depressed; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:       emergence; TF: 0.000008; IDF: 1.540445; TF-IDF: 0.000012
word:         butcher; TF: 0.000008; IDF: 0.693147; TF-IDF: 0.000006
word:         adopted; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:          demand; TF: 0.000032; IDF: 0.074108; TF-IDF: 0.000002
word:          lessen; TF: 0.000032; IDF: 0.693147; TF-IDF: 0.000022
word:      unshackled; TF: 0.000008; IDF: 2.639057; TF-IDF: 0.000021
word:        examined; TF: 0.000032; IDF: 0.336472; TF-IDF: 0.000011
word:         protect; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:         charles; TF: 0.000056; IDF: 0.441833; TF-IDF: 0.000025
word:        guidance; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:  reconciliation; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:       commonest; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:         seizing; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:    construction; TF: 0.000008; IDF: 0.559616; TF-IDF: 0.000004
word:       disliking; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:          surely; TF: 0.000032; IDF: 0.336472; TF-IDF: 0.000011
word:         falling; TF: 0.000024; IDF: 0.154151; TF-IDF: 0.000004
word:         economy; TF: 0.000040; IDF: 0.441833; TF-IDF: 0.000018
word:         disturb; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:       inquiring; TF: 0.000040; IDF: 0.693147; TF-IDF: 0.000028
word:           adieu; TF: 0.000040; IDF: 1.540445; TF-IDF: 0.000061
word:       reference; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:       observing; TF: 0.000127; IDF: 0.441833; TF-IDF: 0.000056
word:        gamester; TF: 0.000008; IDF: 1.945910; TF-IDF: 0.000015
word:        taciturn; TF: 0.000008; IDF: 1.029619; TF-IDF: 0.000008
word:          biting; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:     illustrious; TF: 0.000008; IDF: 0.693147; TF-IDF: 0.000006
word:      obsequious; TF: 0.000008; IDF: 1.540445; TF-IDF: 0.000012
word:           board; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:       impatient; TF: 0.000064; IDF: 0.336472; TF-IDF: 0.000021
word:           abode; TF: 0.000064; IDF: 0.847298; TF-IDF: 0.000054
word:           boast; TF: 0.000087; IDF: 0.559616; TF-IDF: 0.000049
word:          surest; TF: 0.000008; IDF: 1.252763; TF-IDF: 0.000010
word:          lesson; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:     serviceable; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:      proportion; TF: 0.000032; IDF: 0.847298; TF-IDF: 0.000027
word:      invariably; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:        courtesy; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:        renewing; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:    superintends; TF: 0.000008; IDF: 1.540445; TF-IDF: 0.000012
word:           pause; TF: 0.000143; IDF: 0.336472; TF-IDF: 0.000048
word:        strength; TF: 0.000048; IDF: 0.074108; TF-IDF: 0.000004
word:      settlement; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:         totally; TF: 0.000064; IDF: 0.847298; TF-IDF: 0.000054
word:       captivate; TF: 0.000008; IDF: 1.252763; TF-IDF: 0.000010
word:       somewhere; TF: 0.000032; IDF: 0.074108; TF-IDF: 0.000002
word:         protest; TF: 0.000008; IDF: 0.847298; TF-IDF: 0.000007
word:       cordially; TF: 0.000024; IDF: 0.847298; TF-IDF: 0.000020
word:      monotonous; TF: 0.000008; IDF: 0.441833; TF-IDF: 0.000004
word:    constitution; TF: 0.000008; IDF: 1.252763; TF-IDF: 0.000010
word:        provoked; TF: 0.000024; IDF: 0.441833; TF-IDF: 0.000011
word:     overflowing; TF: 0.000008; IDF: 1.029619; TF-IDF: 0.000008
word:        blenheim; TF: 0.000008; IDF: 2.639057; TF-IDF: 0.000021
