TOP 5:
word:         rightly; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:           birds; TF: 0.000329; IDF: 0.336472; TF-IDF: 0.000111
word:        bursting; TF: 0.000033; IDF: 1.029619; TF-IDF: 0.000034
word:         nowhere; TF: 0.000066; IDF: 0.441833; TF-IDF: 0.000029
word:         inwards; TF: 0.000033; IDF: 1.945910; TF-IDF: 0.000064
word:         grunted; TF: 0.000131; IDF: 1.540445; TF-IDF: 0.000203
word:            west; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:          golden; TF: 0.000230; IDF: 0.693147; TF-IDF: 0.000160
word:        grumbled; TF: 0.000033; IDF: 0.847298; TF-IDF: 0.000028
word:         soldier; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:          quiver; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:       donations; TF: 0.000493; IDF: 0.074108; TF-IDF: 0.000037
word:            airs; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:         faintly; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:          united; TF: 0.000329; IDF: 0.074108; TF-IDF: 0.000024
word:         eagerly; TF: 0.000263; IDF: 0.241162; TF-IDF: 0.000063
word:          lonely; TF: 0.000066; IDF: 0.336472; TF-IDF: 0.000022
word:        inquired; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:         adjourn; TF: 0.000033; IDF: 1.252763; TF-IDF: 0.000041
word:          bleeds; TF: 0.000033; IDF: 1.540445; TF-IDF: 0.000051
word:          lowing; TF: 0.000033; IDF: 1.540445; TF-IDF: 0.000051
word:         managed; TF: 0.000131; IDF: 0.241162; TF-IDF: 0.000032
word:      newsletter; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:      statements; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:           slate; TF: 0.000131; IDF: 0.847298; TF-IDF: 0.000111
word:           locks; TF: 0.000066; IDF: 1.029619; TF-IDF: 0.000068
word:         renamed; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:        included; TF: 0.000099; IDF: 0.000000; TF-IDF: 0.000000
word:        includes; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:          rubbed; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:       ourselves; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:         puzzled; TF: 0.000296; IDF: 0.441833; TF-IDF: 0.000131
word:         lodging; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:        forepaws; TF: 0.000033; IDF: 1.540445; TF-IDF: 0.000051
word:          demand; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:          lessen; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:         protect; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:           games; TF: 0.000033; IDF: 1.029619; TF-IDF: 0.000034
word:         falling; TF: 0.000066; IDF: 0.154151; TF-IDF: 0.000010
word:         railway; TF: 0.000066; IDF: 1.029619; TF-IDF: 0.000068
word:       impatient; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:          lesson; TF: 0.000099; IDF: 0.559616; TF-IDF: 0.000055
word:         rearing; TF: 0.000066; IDF: 0.693147; TF-IDF: 0.000046
word:        machines; TF: 0.000033; IDF: 1.029619; TF-IDF: 0.000034
word:           pause; TF: 0.000066; IDF: 0.336472; TF-IDF: 0.000022
word:        strength; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:       shrinking; TF: 0.000131; IDF: 1.540445; TF-IDF: 0.000203
word:       somewhere; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:         hjckrrh; TF: 0.000033; IDF: 2.639057; TF-IDF: 0.000087
word:         shrieks; TF: 0.000033; IDF: 0.847298; TF-IDF: 0.000028
word:           desks; TF: 0.000033; IDF: 1.540445; TF-IDF: 0.000051
word:          sleepy; TF: 0.000164; IDF: 0.559616; TF-IDF: 0.000092
word:          cherry; TF: 0.000033; IDF: 1.540445; TF-IDF: 0.000051
word:           sadly; TF: 0.000164; IDF: 0.559616; TF-IDF: 0.000092
word:           rules; TF: 0.000164; IDF: 0.074108; TF-IDF: 0.000012
word:        involved; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:         majesty; TF: 0.000394; IDF: 0.847298; TF-IDF: 0.000334
word:         opinion; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:          pepper; TF: 0.000263; IDF: 1.540445; TF-IDF: 0.000405
word:           about; TF: 0.003353; IDF: 0.074108; TF-IDF: 0.000248
word:           above; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:            http; TF: 0.000263; IDF: 0.074108; TF-IDF: 0.000019
word:         smaller; TF: 0.000099; IDF: 0.336472; TF-IDF: 0.000033
word:        snorting; TF: 0.000033; IDF: 1.252763; TF-IDF: 0.000041
word:        unfolded; TF: 0.000066; IDF: 0.693147; TF-IDF: 0.000046
word:         figures; TF: 0.000033; IDF: 0.441833; TF-IDF: 0.000015
word:         feather; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:            lieu; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:            life; TF: 0.000427; IDF: 0.074108; TF-IDF: 0.000032
word:         vanilla; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:           never; TF: 0.001578; IDF: 0.074108; TF-IDF: 0.000117
word:         glaring; TF: 0.000033; IDF: 0.693147; TF-IDF: 0.000023
word:          entity; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:           lived; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:           lives; TF: 0.000131; IDF: 0.074108; TF-IDF: 0.000010
word:            yard; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:            like; TF: 0.002794; IDF: 0.074108; TF-IDF: 0.000207
word:         replace; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:            line; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:          longed; TF: 0.000066; IDF: 0.559616; TF-IDF: 0.000037
word:         implied; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:          longer; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:        overcome; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:            join; TF: 0.000296; IDF: 0.074108; TF-IDF: 0.000022
word:           sugar; TF: 0.000099; IDF: 0.559616; TF-IDF: 0.000055
word:        warranty; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:         certain; TF: 0.000164; IDF: 0.074108; TF-IDF: 0.000012
word:            lips; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:           thick; TF: 0.000033; IDF: 0.154151; TF-IDF: 0.000005
word:            list; TF: 0.000099; IDF: 0.154151; TF-IDF: 0.000015
word:         morning; TF: 0.000164; IDF: 0.074108; TF-IDF: 0.000012
word:        previous; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:         clamour; TF: 0.000033; IDF: 2.639057; TF-IDF: 0.000087
word:      appearance; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:           swamp; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:            live; TF: 0.000263; IDF: 0.074108; TF-IDF: 0.000019
word:          yawned; TF: 0.000066; IDF: 0.559616; TF-IDF: 0.000037
word:        balanced; TF: 0.000033; IDF: 1.029619; TF-IDF: 0.000034
word:           shock; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:            hung; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:           shoes; TF: 0.000230; IDF: 0.241162; TF-IDF: 0.000055
word:           thing; TF: 0.001611; IDF: 0.074108; TF-IDF: 0.000119
