TOP 5:
word:          anchor; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:           feels; TF: 0.000047; IDF: 0.485508; TF-IDF: 0.000023
word:   sarcastically; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:           flock; TF: 0.000003; IDF: 0.773190; TF-IDF: 0.000002
word:       pitchfork; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word: conscientiously; TF: 0.000011; IDF: 1.466337; TF-IDF: 0.000016
word:       lettering; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:           croak; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:           enoch; TF: 0.000017; IDF: 2.564949; TF-IDF: 0.000043
word: condescendingly; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:          beheld; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:      aggravated; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:         divided; TF: 0.000058; IDF: 0.262364; TF-IDF: 0.000015
word:          custom; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:           souls; TF: 0.000006; IDF: 0.485508; TF-IDF: 0.000003
word:     dilapidated; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:           tooth; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000013
word:       overgrown; TF: 0.000006; IDF: 2.564949; TF-IDF: 0.000014
word:        streamed; TF: 0.000006; IDF: 0.955511; TF-IDF: 0.000005
word:          refund; TF: 0.000028; IDF: 0.080043; TF-IDF: 0.000002
word:         sneezed; TF: 0.000006; IDF: 1.178655; TF-IDF: 0.000007
word:           sound; TF: 0.000227; IDF: 0.080043; TF-IDF: 0.000018
word:        research; TF: 0.000006; IDF: 0.080043; TF-IDF: 0.000000
word:          trifle; TF: 0.000006; IDF: 0.485508; TF-IDF: 0.000003
word:         bedtime; TF: 0.000003; IDF: 0.485508; TF-IDF: 0.000001
word:         creator; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:         anybody; TF: 0.000019; IDF: 0.367725; TF-IDF: 0.000007
word:      personally; TF: 0.000014; IDF: 0.485508; TF-IDF: 0.000007
word:          strike; TF: 0.000011; IDF: 0.167054; TF-IDF: 0.000002
