TOP 5:
word:           paste; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:         century; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:         bedroom; TF: 0.000017; IDF: 0.367725; TF-IDF: 0.000006
word:        tremblin; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           floor; TF: 0.000240; IDF: 0.262364; TF-IDF: 0.000063
word:     disclaimers; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:          riddle; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:          popped; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:       sorrowful; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000026
word:         dolphin; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          lumbus; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:        dreadful; TF: 0.000075; IDF: 0.367725; TF-IDF: 0.000027
word:           drive; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:         unities; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           sable; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           crope; TF: 0.000017; IDF: 2.564949; TF-IDF: 0.000042
word:          london; TF: 0.000041; IDF: 0.485508; TF-IDF: 0.000020
word:            spos; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000085
word:            spot; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:       dooryards; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          jeesum; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           wiped; TF: 0.000017; IDF: 0.485508; TF-IDF: 0.000008
word:           flour; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000049
word:           cross; TF: 0.000050; IDF: 0.080043; TF-IDF: 0.000004
word:            spry; TF: 0.000041; IDF: 0.955511; TF-IDF: 0.000040
word:        devoutly; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:         kingdom; TF: 0.000017; IDF: 0.619039; TF-IDF: 0.000010
word:     interpreted; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:           brung; TF: 0.000050; IDF: 1.178655; TF-IDF: 0.000059
word:         vassles; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:            spun; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:           crowd; TF: 0.000207; IDF: 0.262364; TF-IDF: 0.000054
word:            weak; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:            wear; TF: 0.000058; IDF: 0.262364; TF-IDF: 0.000015
word:       everytime; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          peeped; TF: 0.000058; IDF: 0.262364; TF-IDF: 0.000015
word:       political; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:          whoops; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000085
word:        fretting; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:           minds; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:          doings; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:           brush; TF: 0.000041; IDF: 0.619039; TF-IDF: 0.000026
word:         scratch; TF: 0.000066; IDF: 0.485508; TF-IDF: 0.000032
word:          preach; TF: 0.000025; IDF: 0.773190; TF-IDF: 0.000019
word:          circle; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:          saying; TF: 0.000447; IDF: 0.080043; TF-IDF: 0.000036
word:           brute; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:          birnam; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
