TOP 5:
word:          refuse; TF: 0.000055; IDF: 0.262364; TF-IDF: 0.000014
word:        cheerful; TF: 0.000018; IDF: 0.485508; TF-IDF: 0.000009
word:       bachelors; TF: 0.000009; IDF: 1.178655; TF-IDF: 0.000011
word:         secrets; TF: 0.000009; IDF: 0.262364; TF-IDF: 0.000002
word:          burden; TF: 0.000009; IDF: 0.619039; TF-IDF: 0.000006
word:        announce; TF: 0.000018; IDF: 0.773190; TF-IDF: 0.000014
word:        operatic; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:           south; TF: 0.000064; IDF: 0.262364; TF-IDF: 0.000017
word:           avoid; TF: 0.000028; IDF: 0.167054; TF-IDF: 0.000005
word:          baying; TF: 0.000009; IDF: 1.466337; TF-IDF: 0.000013
word:           axiom; TF: 0.000009; IDF: 1.466337; TF-IDF: 0.000013
word:         century; TF: 0.000009; IDF: 0.773190; TF-IDF: 0.000007
word:        rapidity; TF: 0.000009; IDF: 0.773190; TF-IDF: 0.000007
word:           pasty; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:           flood; TF: 0.000009; IDF: 0.955511; TF-IDF: 0.000009
word:         bedroom; TF: 0.000165; IDF: 0.367725; TF-IDF: 0.000061
word:           floor; TF: 0.000266; IDF: 0.262364; TF-IDF: 0.000070
word:     disclaimers; TF: 0.000009; IDF: 0.080043; TF-IDF: 0.000001
word:         blocked; TF: 0.000028; IDF: 1.871802; TF-IDF: 0.000052
word:        puckered; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:        dreadful; TF: 0.000156; IDF: 0.367725; TF-IDF: 0.000057
word:           crony; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:         brimmed; TF: 0.000037; IDF: 1.466337; TF-IDF: 0.000054
word:      hereditary; TF: 0.000037; IDF: 1.466337; TF-IDF: 0.000054
word:           flora; TF: 0.000073; IDF: 1.871802; TF-IDF: 0.000137
word:           drive; TF: 0.000193; IDF: 0.080043; TF-IDF: 0.000015
word:           sable; TF: 0.000009; IDF: 1.871802; TF-IDF: 0.000017
word:          london; TF: 0.000376; IDF: 0.485508; TF-IDF: 0.000183
word:            spot; TF: 0.000028; IDF: 0.080043; TF-IDF: 0.000002
word:        balmoral; TF: 0.000037; IDF: 1.871802; TF-IDF: 0.000069
word:         caraffe; TF: 0.000009; IDF: 2.564949; TF-IDF: 0.000024
word:     balustraded; TF: 0.000009; IDF: 2.564949; TF-IDF: 0.000024
word:          apache; TF: 0.000009; IDF: 2.564949; TF-IDF: 0.000024
word:         revenge; TF: 0.000018; IDF: 0.619039; TF-IDF: 0.000011
word:         halifax; TF: 0.000009; IDF: 0.485508; TF-IDF: 0.000004
word:      carelessly; TF: 0.000028; IDF: 0.773190; TF-IDF: 0.000021
word:           cross; TF: 0.000092; IDF: 0.080043; TF-IDF: 0.000007
