TOP 5:
word:      unchanging; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:           south; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:      dreaminess; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:           avoid; TF: 0.000869; IDF: 0.154151; TF-IDF: 0.000134
word:     flirtations; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:         century; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:        rapidity; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:         bedroom; TF: 0.000031; IDF: 0.336472; TF-IDF: 0.000010
word:           floor; TF: 0.000031; IDF: 0.241162; TF-IDF: 0.000007
word:     disclaimers; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:          riddle; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        mechanic; TF: 0.000031; IDF: 2.639057; TF-IDF: 0.000082
word:       sorrowful; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        boulders; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:           crook; TF: 0.000062; IDF: 0.074108; TF-IDF: 0.000005
word:          london; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:            spot; TF: 0.000062; IDF: 0.074108; TF-IDF: 0.000005
word:   impulsiveness; TF: 0.000031; IDF: 2.639057; TF-IDF: 0.000082
word:     flirtatious; TF: 0.000062; IDF: 1.945910; TF-IDF: 0.000121
word:    civilization; TF: 0.000093; IDF: 0.847298; TF-IDF: 0.000079
word:     individuals; TF: 0.000093; IDF: 1.029619; TF-IDF: 0.000096
word:     manuscripts; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:           cross; TF: 0.000031; IDF: 0.074108; TF-IDF: 0.000002
word:   possibilities; TF: 0.000062; IDF: 1.029619; TF-IDF: 0.000064
word:     interpreted; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:            spur; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:           crowd; TF: 0.000047; IDF: 0.241162; TF-IDF: 0.000011
word:           crown; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:        survival; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:            weak; TF: 0.000109; IDF: 0.074108; TF-IDF: 0.000008
word:            wear; TF: 0.000124; IDF: 0.241162; TF-IDF: 0.000030
word:        dressing; TF: 0.000062; IDF: 0.241162; TF-IDF: 0.000015
word:        realized; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:       political; TF: 0.000109; IDF: 0.441833; TF-IDF: 0.000048
word:         propose; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:         marital; TF: 0.000124; IDF: 1.945910; TF-IDF: 0.000241
word:           minds; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:        impelled; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:          preach; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:          circle; TF: 0.000124; IDF: 0.074108; TF-IDF: 0.000009
word:          saying; TF: 0.000093; IDF: 0.074108; TF-IDF: 0.000007
word:          feeble; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:        survived; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
word:            weed; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:            week; TF: 0.000202; IDF: 0.154151; TF-IDF: 0.000031
word:          voices; TF: 0.000047; IDF: 0.241162; TF-IDF: 0.000011
word:        absolute; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:      discussing; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:         cottage; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:           vivid; TF: 0.000078; IDF: 0.693147; TF-IDF: 0.000054
word:      discussion; TF: 0.000047; IDF: 0.441833; TF-IDF: 0.000021
word:          giving; TF: 0.000171; IDF: 0.074108; TF-IDF: 0.000013
word:      performing; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:       highbrows; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:        thrilled; TF: 0.000047; IDF: 0.000000; TF-IDF: 0.000000
word:            aids; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:        thriller; TF: 0.000062; IDF: 2.639057; TF-IDF: 0.000164
word:            name; TF: 0.000171; IDF: 0.074108; TF-IDF: 0.000013
word:      tendencies; TF: 0.000372; IDF: 1.029619; TF-IDF: 0.000383
word:         revenue; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:        imbedded; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:     photography; TF: 0.000031; IDF: 1.945910; TF-IDF: 0.000060
word:           paths; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:       aversions; TF: 0.000047; IDF: 1.945910; TF-IDF: 0.000091
word:        promises; TF: 0.000078; IDF: 0.693147; TF-IDF: 0.000054
word:          common; TF: 0.000186; IDF: 0.154151; TF-IDF: 0.000029
word:          aurora; TF: 0.000047; IDF: 0.847298; TF-IDF: 0.000039
word:            well; TF: 0.000900; IDF: 0.074108; TF-IDF: 0.000067
word:     competition; TF: 0.000062; IDF: 1.252763; TF-IDF: 0.000078
word:         remarks; TF: 0.000016; IDF: 0.441833; TF-IDF: 0.000007
word:          circus; TF: 0.000031; IDF: 0.693147; TF-IDF: 0.000022
word:          answer; TF: 0.000062; IDF: 0.074108; TF-IDF: 0.000005
word:     contemplate; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:            went; TF: 0.000093; IDF: 0.074108; TF-IDF: 0.000007
word:         unknown; TF: 0.000124; IDF: 0.154151; TF-IDF: 0.000019
word:      resilience; TF: 0.000047; IDF: 1.945910; TF-IDF: 0.000091
word:         waisted; TF: 0.000016; IDF: 1.945910; TF-IDF: 0.000030
word:         oratory; TF: 0.000062; IDF: 1.540445; TF-IDF: 0.000096
word:          canary; TF: 0.000047; IDF: 1.029619; TF-IDF: 0.000048
word:   consideration; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:          fellow; TF: 0.000078; IDF: 0.154151; TF-IDF: 0.000012
word:          fourth; TF: 0.000124; IDF: 0.241162; TF-IDF: 0.000030
word:            aims; TF: 0.000124; IDF: 0.693147; TF-IDF: 0.000086
word:            were; TF: 0.000698; IDF: 0.074108; TF-IDF: 0.000052
word:     effectively; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:         rightly; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:     controlling; TF: 0.000016; IDF: 1.252763; TF-IDF: 0.000019
word:         nowhere; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:            west; TF: 0.000016; IDF: 0.074108; TF-IDF: 0.000001
word:         remarry; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:         jotting; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:      consequent; TF: 0.000016; IDF: 0.847298; TF-IDF: 0.000013
word:        tuesdays; TF: 0.000031; IDF: 0.241162; TF-IDF: 0.000007
word:         reforms; TF: 0.000047; IDF: 1.252763; TF-IDF: 0.000058
word:           yield; TF: 0.000047; IDF: 0.336472; TF-IDF: 0.000016
word:        exacting; TF: 0.000031; IDF: 1.029619; TF-IDF: 0.000032
word:       donations; TF: 0.000248; IDF: 0.074108; TF-IDF: 0.000018
word:            airs; TF: 0.000031; IDF: 0.441833; TF-IDF: 0.000014
word:         talents; TF: 0.000155; IDF: 0.693147; TF-IDF: 0.000108
word:           organ; TF: 0.000109; IDF: 1.029619; TF-IDF: 0.000112
word:          united; TF: 0.000295; IDF: 0.074108; TF-IDF: 0.000022
word:           farms; TF: 0.000031; IDF: 0.847298; TF-IDF: 0.000026
word:         eagerly; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:       breakfast; TF: 0.000047; IDF: 0.241162; TF-IDF: 0.000011
word:          lonely; TF: 0.000016; IDF: 0.336472; TF-IDF: 0.000005
word:      conditions; TF: 0.000124; IDF: 0.336472; TF-IDF: 0.000042
word:          recall; TF: 0.000124; IDF: 0.441833; TF-IDF: 0.000055
word:     overlooking; TF: 0.000016; IDF: 0.693147; TF-IDF: 0.000011
word:        inquired; TF: 0.000016; IDF: 0.241162; TF-IDF: 0.000004
word:        handicap; TF: 0.000186; IDF: 2.639057; TF-IDF: 0.000491
word:        inquires; TF: 0.000016; IDF: 1.540445; TF-IDF: 0.000024
word:      recentness; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:        vagaries; TF: 0.000016; IDF: 2.639057; TF-IDF: 0.000041
word:           slang; TF: 0.000016; IDF: 1.029619; TF-IDF: 0.000016
word:          thrill; TF: 0.000016; IDF: 0.559616; TF-IDF: 0.000009
