TOP 5:
word:         bedroom; TF: 0.000036; IDF: 0.367725; TF-IDF: 0.000013
word:           floor; TF: 0.000132; IDF: 0.262364; TF-IDF: 0.000035
word:     disclaimers; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:          fleurs; TF: 0.000024; IDF: 1.466337; TF-IDF: 0.000035
word:           nests; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:        dreadful; TF: 0.000515; IDF: 0.367725; TF-IDF: 0.000189
word:       gwendolen; TF: 0.000024; IDF: 2.564949; TF-IDF: 0.000061
word:           drive; TF: 0.000084; IDF: 0.080043; TF-IDF: 0.000007
word:          strive; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:          london; TF: 0.000228; IDF: 0.485508; TF-IDF: 0.000110
word:            spot; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:          option; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:         heralds; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:          skeins; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:    civilization; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:           wiped; TF: 0.000036; IDF: 0.485508; TF-IDF: 0.000017
word:          snowed; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:           cross; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:          burdon; TF: 0.000024; IDF: 2.564949; TF-IDF: 0.000061
word:     interpreted; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:     established; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:           bruno; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:     incompetent; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:           crowd; TF: 0.000048; IDF: 0.262364; TF-IDF: 0.000013
word:          unison; TF: 0.000024; IDF: 1.178655; TF-IDF: 0.000028
word:        survival; TF: 0.000024; IDF: 1.871802; TF-IDF: 0.000045
word:            weak; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:            wear; TF: 0.000036; IDF: 0.262364; TF-IDF: 0.000009
word:        dressing; TF: 0.000084; IDF: 0.262364; TF-IDF: 0.000022
word:        realized; TF: 0.000048; IDF: 1.178655; TF-IDF: 0.000056
word:          velvet; TF: 0.000060; IDF: 0.619039; TF-IDF: 0.000037
word:         propose; TF: 0.000084; IDF: 0.485508; TF-IDF: 0.000041
word:           topic; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:          tawdry; TF: 0.000048; IDF: 2.564949; TF-IDF: 0.000123
word:           minds; TF: 0.000036; IDF: 0.262364; TF-IDF: 0.000009
word:           brush; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:          preach; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:          circle; TF: 0.000036; IDF: 0.080043; TF-IDF: 0.000003
word:          saying; TF: 0.000180; IDF: 0.080043; TF-IDF: 0.000014
word:           brute; TF: 0.000060; IDF: 0.773190; TF-IDF: 0.000046
word:      lustreless; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:         archway; TF: 0.000024; IDF: 1.178655; TF-IDF: 0.000028
word:       invisible; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:            week; TF: 0.000120; IDF: 0.167054; TF-IDF: 0.000020
word:           patch; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:            weep; TF: 0.000036; IDF: 0.619039; TF-IDF: 0.000022
word:          commit; TF: 0.000108; IDF: 0.262364; TF-IDF: 0.000028
word:         courage; TF: 0.000072; IDF: 0.167054; TF-IDF: 0.000012
word:         emperor; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:        absolute; TF: 0.000072; IDF: 0.485508; TF-IDF: 0.000035
word:      discussing; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:        brougham; TF: 0.000036; IDF: 1.871802; TF-IDF: 0.000067
word:           vivid; TF: 0.000084; IDF: 0.773190; TF-IDF: 0.000065
word:          nights; TF: 0.000036; IDF: 0.619039; TF-IDF: 0.000022
word:      discussion; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:        egotists; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:          giving; TF: 0.000132; IDF: 0.080043; TF-IDF: 0.000011
word:      performing; TF: 0.000036; IDF: 0.080043; TF-IDF: 0.000003
word:     unsatisfied; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:         english; TF: 0.000192; IDF: 0.000000; TF-IDF: 0.000000
word:         immense; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:          eldest; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:         mexican; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:            name; TF: 0.000575; IDF: 0.080043; TF-IDF: 0.000046
word:          fibres; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:         revenue; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:     photographs; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:        drifting; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:        promised; TF: 0.000108; IDF: 0.262364; TF-IDF: 0.000028
word:        promises; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:          common; TF: 0.000192; IDF: 0.167054; TF-IDF: 0.000032
word:        champion; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:      consummate; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:            well; TF: 0.000802; IDF: 0.080043; TF-IDF: 0.000064
word:          inmost; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:          guests; TF: 0.000084; IDF: 0.773190; TF-IDF: 0.000065
word:   rechristening; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:           farce; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:          circus; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:          answer; TF: 0.000383; IDF: 0.080043; TF-IDF: 0.000031
word:           lithe; TF: 0.000024; IDF: 1.871802; TF-IDF: 0.000045
word:        plucking; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:          aiming; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:         cheques; TF: 0.000024; IDF: 1.871802; TF-IDF: 0.000045
word:            went; TF: 0.000755; IDF: 0.080043; TF-IDF: 0.000060
word:          degree; TF: 0.000012; IDF: 0.167054; TF-IDF: 0.000002
word:       drunkards; TF: 0.000024; IDF: 1.466337; TF-IDF: 0.000035
