TOP 5:
word:         rightly; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:           birds; TF: 0.000329; IDF: 0.367725; TF-IDF: 0.000121
word:        bursting; TF: 0.000033; IDF: 1.178655; TF-IDF: 0.000039
word:         nowhere; TF: 0.000066; IDF: 0.485508; TF-IDF: 0.000032
word:         inwards; TF: 0.000033; IDF: 1.871802; TF-IDF: 0.000062
word:         grunted; TF: 0.000131; IDF: 1.466337; TF-IDF: 0.000193
word:            west; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          golden; TF: 0.000230; IDF: 0.773190; TF-IDF: 0.000178
word:        grumbled; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:         soldier; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:          quiver; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:       donations; TF: 0.000493; IDF: 0.080043; TF-IDF: 0.000039
word:            airs; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:         faintly; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:          united; TF: 0.000329; IDF: 0.080043; TF-IDF: 0.000026
word:         eagerly; TF: 0.000263; IDF: 0.262364; TF-IDF: 0.000069
word:          lonely; TF: 0.000066; IDF: 0.367725; TF-IDF: 0.000024
word:        inquired; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:         adjourn; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
word:          bleeds; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
word:          lowing; TF: 0.000033; IDF: 1.871802; TF-IDF: 0.000062
word:         managed; TF: 0.000131; IDF: 0.262364; TF-IDF: 0.000035
word:      newsletter; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:      statements; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:           slate; TF: 0.000131; IDF: 0.955511; TF-IDF: 0.000126
word:           locks; TF: 0.000066; IDF: 1.178655; TF-IDF: 0.000077
word:         renamed; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:        included; TF: 0.000099; IDF: 0.000000; TF-IDF: 0.000000
word:        includes; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          rubbed; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:       ourselves; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:         puzzled; TF: 0.000296; IDF: 0.485508; TF-IDF: 0.000144
word:         lodging; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:        forepaws; TF: 0.000033; IDF: 1.871802; TF-IDF: 0.000062
word:          demand; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          lessen; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:         protect; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:           games; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:         falling; TF: 0.000066; IDF: 0.167054; TF-IDF: 0.000011
word:         railway; TF: 0.000066; IDF: 1.178655; TF-IDF: 0.000077
word:       impatient; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:          lesson; TF: 0.000099; IDF: 0.619039; TF-IDF: 0.000061
word:         rearing; TF: 0.000066; IDF: 0.773190; TF-IDF: 0.000051
word:        machines; TF: 0.000033; IDF: 1.178655; TF-IDF: 0.000039
word:           pause; TF: 0.000066; IDF: 0.367725; TF-IDF: 0.000024
word:        strength; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:       shrinking; TF: 0.000131; IDF: 1.871802; TF-IDF: 0.000246
word:       somewhere; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:         hjckrrh; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000084
word:         shrieks; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:           desks; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
word:          sleepy; TF: 0.000164; IDF: 0.619039; TF-IDF: 0.000102
word:          cherry; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
word:           sadly; TF: 0.000164; IDF: 0.485508; TF-IDF: 0.000080
word:           rules; TF: 0.000164; IDF: 0.080043; TF-IDF: 0.000013
word:        involved; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:         majesty; TF: 0.000394; IDF: 0.773190; TF-IDF: 0.000305
word:         opinion; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          pepper; TF: 0.000263; IDF: 1.466337; TF-IDF: 0.000386
word:           about; TF: 0.003353; IDF: 0.080043; TF-IDF: 0.000268
word:           above; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:            http; TF: 0.000263; IDF: 0.080043; TF-IDF: 0.000021
word:         smaller; TF: 0.000099; IDF: 0.367725; TF-IDF: 0.000036
word:        snorting; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
word:        unfolded; TF: 0.000066; IDF: 0.773190; TF-IDF: 0.000051
word:         figures; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:         feather; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:            lieu; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:            life; TF: 0.000427; IDF: 0.080043; TF-IDF: 0.000034
word:         vanilla; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:           never; TF: 0.001578; IDF: 0.080043; TF-IDF: 0.000126
word:         glaring; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:          entity; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:           lived; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:           lives; TF: 0.000131; IDF: 0.080043; TF-IDF: 0.000011
word:            yard; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:            like; TF: 0.002794; IDF: 0.080043; TF-IDF: 0.000224
word:         replace; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:            line; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:          longed; TF: 0.000066; IDF: 0.619039; TF-IDF: 0.000041
word:         implied; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:          longer; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:        overcome; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:            join; TF: 0.000296; IDF: 0.080043; TF-IDF: 0.000024
word:           sugar; TF: 0.000099; IDF: 0.619039; TF-IDF: 0.000061
word:        warranty; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:         certain; TF: 0.000164; IDF: 0.080043; TF-IDF: 0.000013
word:            lips; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:           thick; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000005
word:            list; TF: 0.000099; IDF: 0.167054; TF-IDF: 0.000016
word:         morning; TF: 0.000164; IDF: 0.080043; TF-IDF: 0.000013
