TOP 5:
word:     disclaimers; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:       discharge; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:           lobby; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:       shrubbery; TF: 0.000032; IDF: 1.871802; TF-IDF: 0.000059
word:      bewitching; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:        dreadful; TF: 0.000087; IDF: 0.367725; TF-IDF: 0.000032
word:           drive; TF: 0.000032; IDF: 0.080043; TF-IDF: 0.000003
word:          london; TF: 0.000437; IDF: 0.485508; TF-IDF: 0.000212
word:            spot; TF: 0.000056; IDF: 0.080043; TF-IDF: 0.000004
word:         revenge; TF: 0.000016; IDF: 0.619039; TF-IDF: 0.000010
word:           cross; TF: 0.000032; IDF: 0.080043; TF-IDF: 0.000003
word:         kingdom; TF: 0.000032; IDF: 0.619039; TF-IDF: 0.000020
word:   possibilities; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:     interpreted; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:     established; TF: 0.000056; IDF: 0.485508; TF-IDF: 0.000027
word:        forcibly; TF: 0.000032; IDF: 0.773190; TF-IDF: 0.000025
word:            spur; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           crowd; TF: 0.000008; IDF: 0.262364; TF-IDF: 0.000002
word:           crown; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:            weak; TF: 0.000056; IDF: 0.080043; TF-IDF: 0.000004
word:        mornings; TF: 0.000024; IDF: 0.262364; TF-IDF: 0.000006
word:       unsubdued; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:        dressing; TF: 0.000071; IDF: 0.262364; TF-IDF: 0.000019
word:         uniting; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:           mince; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:         propose; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:           topic; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:           minds; TF: 0.000032; IDF: 0.262364; TF-IDF: 0.000008
word:          doings; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:        impelled; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:          circle; TF: 0.000056; IDF: 0.080043; TF-IDF: 0.000004
word:          saying; TF: 0.000278; IDF: 0.080043; TF-IDF: 0.000022
